Expression,Result
load addition_plugin,Error: Unknown operation 'load'
addition 2 4,Error: Unknown operation 'addition'
addition 2 4,Error: Unknown operation 'addition'
addition_plugin 2 3,Error: Unknown operation 'addition_plugin'
addition 2 4,Error: Unknown operation 'addition'
addition 3 5,Error: Unknown operation 'addition'
addition_plugin 3 4,Error: Unknown operation 'addition_plugin'
addition 3 4,Error: Unknown operation 'addition'
4+6,10
add 4 6,"Error: invalid syntax (<string>, line 1)"
add 6 7,13.0
"addition_plugin.perform_operation(3, 4)",Error: could not convert string to float: '4)'
"addition_plugin.perform_operation(3,4)","Error: [Errno 2] No such file or directory: '/home/karthik/projects2024/midterm/calculator/plugins/addition_plugin.perform_operation(3,4)_plugin.py'"
addition 3 4,Error: Plugin 'addition' not found
addition_plugin 3 4,Error: [Errno 2] No such file or directory: '/home/karthik/projects2024/midterm/calculator/plugins/addition_plugin_plugin.py'
3 4,Error: [Errno 2] No such file or directory: '/home/karthik/projects2024/midterm/calculator/plugins/3_plugin.py'
addition 3 4,Error: Plugin 'addition' not found
